id,title,body,left_pct,top_pct,category_id,start_date,testup_date,proof_date,delivery_date,flag_start,flag_test,flag_proof,flag_delivery,flag_fb,ball_side,ball_mine,ball_theirs,ball_due,created_at,updated_at
1,下書きを写真取る,,5.8958318340781,15.346017083166,7,,,,,0,0,0,0,0,0,,,,2025-11-09T18:41:01+01:00,2025-11-09T19:04:34+01:00
2,下書きとセリフをとりあえず当てはめる,,18.333333333333,6.2243502051984,7,,,,,0,0,0,0,0,0,,,,2025-11-09T18:55:03+01:00,2025-11-09T19:03:18+01:00
3,下書きを元に改めて鉛筆でちゃんと書く,,59.895833333334,8.1395348837209,7,,,,,0,0,0,0,0,0,,,,2025-11-09T18:58:02+01:00,2025-11-09T19:04:23+01:00
4,内容を磨く,,39.635416666667,6.7715458276334,7,,,,,0,0,0,0,0,0,,,,2025-11-09T18:58:38+01:00,2025-11-09T19:04:26+01:00
5,色をつける,,68.333333333334,35.636114911081,7,,,,,0,0,0,0,0,0,,,,2025-11-09T18:59:44+01:00,2025-11-09T19:04:25+01:00
6,どのタッチの絵にするか、絵本を調査,,28.177083333333,22.229822161423,7,,,,,0,0,0,0,0,0,,,,2025-11-09T19:00:08+01:00,2025-11-09T19:03:20+01:00
7,参考にする絵本を写真で取る,,44.947916666667,25.102599179207,7,,,,,0,0,0,0,0,0,,,,2025-11-09T19:01:57+01:00,2025-11-09T19:03:22+01:00
8,シナリオの本読んで勉強,,58.59375,51.641586867305,7,,,,,0,0,0,0,0,0,,,,2025-11-09T19:10:45+01:00,2025-11-09T19:10:52+01:00
