id,name,color,notes,created_at,updated_at
1,コンペ,#0C9735,,2025-08-17T08:34:04+02:00,2025-10-19T17:27:50+02:00
2,約束,#5D0C97,,2025-08-23T18:38:36+02:00,2025-10-19T17:27:59+02:00
3,システム,#97860C,システムをやる,2025-08-23T18:38:58+02:00,2025-10-19T17:27:50+02:00
4,店,#0C8097,,2025-08-23T18:39:42+02:00,2025-10-19T17:26:44+02:00
5,生活,#970C57,,2025-08-23T18:40:16+02:00,2025-10-19T17:27:53+02:00
6,仕事,#2F970C,,2025-11-01T04:12:23+01:00,2025-11-01T04:12:23+01:00
7,絵本,#120C97,,2025-11-09T18:33:34+01:00,2025-11-09T18:33:34+01:00
