id,title,body,left_pct,top_pct,category_id,start_date,testup_date,proof_date,delivery_date,flag_start,flag_test,flag_proof,flag_delivery,flag_fb,ball_side,ball_mine,ball_theirs,ball_due,created_at,updated_at
1,缶バッチ,,40.04687428352,24.495953209149,4,,,,,0,0,0,0,0,0,,,,2025-08-18T19:50:47+02:00,2025-11-03T06:46:07+01:00
2,ポストカード,,57.255208315485,23.824999076005,4,,,,,0,0,0,0,0,0,,,,2025-08-18T19:51:00+02:00,2025-11-03T06:46:09+01:00
