id,title,body,left_pct,top_pct,category_id,start_date,testup_date,proof_date,delivery_date,flag_start,flag_test,flag_proof,flag_delivery,flag_fb,ball_side,ball_mine,ball_theirs,ball_due,created_at,updated_at
1,SUZURIのアカウント作る,,13.90625,13.878326996197,4,,,,,0,0,0,0,0,0,,,,2025-08-23T20:38:44+02:00,2025-08-23T20:40:29+02:00
2,メルカリの商品見直し,,46.145833333333,37.832699619772,4,,,,,0,0,0,0,0,0,,,,2025-08-23T20:39:02+02:00,2025-08-23T20:39:27+02:00
3,BASEの商品見直し,,47.291666666667,26.679340937896,4,,,,,0,0,0,0,0,0,,,,2025-08-23T20:39:21+02:00,2025-08-23T20:40:50+02:00
4,SUZURIに商品出す,,34.223957774937,21.741227951142,4,,,,,0,0,0,0,0,0,,,,2025-08-23T20:39:48+02:00,2025-11-03T17:33:35+01:00
5,CREATERに商品出す,,45.208333333334,52.534854245881,4,,,,,0,0,0,0,0,0,,,,2025-08-23T20:39:59+02:00,2025-08-23T20:41:12+02:00
6,商品の整理,,20.208333333333,50.788891027275,4,,,,,0,0,0,0,0,0,,,,2025-08-23T20:57:10+02:00,2025-11-01T03:58:09+01:00
